Index;ElektrischeLeistungHeizungP_MW;TemperaturenSpeicher1_Celsius;TemperaturenSpeicher2_Celsius;TemperaturenSpeicher3_Celsius;TemperaturenSpeicher4_Celsius;TemperaturenSpeicher5_Celsius;TemperaturenSpeicher6_Celsius;TemperaturenSpeicher7_Celsius;TemperaturenSpeicher8_Celsius
0;0;64,84333333;56,26333333;55,9;55,8;55,7;55,7;55,70666667;53,25
1;0;64,81333333;56,24;55,9;55,8;55,7;55,7;55,73;53,21
2;0;64,7962963;56,20740741;55,9;55,8;55,7;55,7;55,78888889;53,27777778
3;0;64,78333333;56,2;55,9;55,8;55,7;55,7;55,73333333;53,36
4;0;64,76;56,2;55,9;55,8;55,7;55,74;55,78333333;53,48
5;0;64,74814815;56,15185185;55,9;55,8;55,7;55,8;55,82222222;53,34074074
6;0;64,72;56,17666667;55,9;55,81333333;55,7;55,8;55,86333333;53,41
7;0;64,71;56,17;55,9;55,8;55,73;55,8;55,84666667;53,34
8;0;64,696;56,2;55,9;55,8;55,72;55,8;55,9;53,584
9;0;64,68666667;56,2;55,9;55,89666667;55,77666667;55,8;55,9;53,30666667
10;0;64,63333333;56,19333333;55,9;55,9;55,8;55,8;55,9;53,31666667
11;0;64,63076923;56,2;55,9;55,9;55,8;55,8;55,9;53,60384615
12;0;64,6;56,2;55,9;55,9;55,8;55,80333333;55,9;53,44666667
13;0;64,54333333;56,15;55,9;55,9;55,8;55,8;55,9;53,69333333
14;0;64,572;56,116;55,9;55,9;55,8;55,8;55,816;53,98
15;0;64,53666667;56,13666667;55,9;55,9;55,8;55,8;55,7;54,14333333
16;0;64,5;56,13;55,9;55,9;55,8;55,8;55,63333333;54,39666667
17;0;64,5;56,10833333;55,9;55,9;55,8;55,77083333;55,48333333;54,10416667
18;0;64,48333333;56,17333333;55,9;55,89;55,8;55,78333333;55,19333333;53,97666667
19;0;64,45333333;56,1;55,9;55,87666667;55,8;55,8;54,93;53,88333333
20;0;64,4125;56,1;55,9;55,89583333;55,8;55,8;54,77083333;53,94583333
21;0;64,40666667;56,1;55,9;55,81666667;55,8;55,8;54,69666667;53,76333333
22;2,55134E-05;64,38;56,1;55,9;55,8;55,8;55,78;54,45;53,79666667
23;0;64,30833333;56,1;55,9;55,8;55,77083333;55,74583333;54,45833333;53,62916667
24;0;64,22;56,1;55,9;55,8;55,75333333;55,7;54,26666667;53,7
25;0;64,15666667;56,1;55,9;55,8;55,78666667;55,7;54,12;53,60666667
26;0;64,09545455;56,1;55,9;55,8;55,71818182;55,68181818;54,05909091;53,51818182
27;0;64,11666667;56,1;55,9;55,8;55,7;55,7;53,97333333;53,51666667
28;2,55028E-05;64,07333333;56,1;55,9;55,8;55,7;55,57;53,9;53,40333333
29;0;64,08928571;56,1;55,9;55,8;55,7;55,6;53,81785714;53,47857143
30;0;64,03793103;56,1;55,9;55,8;55,7;55,54482759;53,76206897;53,42413793
31;0;63,93333333;56,1;55,9;55,8;55,7;55,43;53,73666667;53,40666667
32;0;63,9862069;56,1;55,9;55,8;55,7;55,38965517;53,67586207;53,46896552
33;0;63,93448276;56,1;55,9;55,8;55,7;55,25862069;53,58965517;53,3137931
